Original file:
C:\Users\Kryolabor\Desktop\Melissa_Marc\gelbes_Salz.txt
Date / time: 30.11.2022, 10:07:38
Sample: gelbes Blutlaugensalz
Comments: 20mV Antriebsspannung, gelbes Blutlaugensalz
Channel #	Counts	Counts (folded)
    736	 198511	      0
    737	 198627	      0
    738	 197106	      0
    739	 196793	      0
    740	 196854	      0
    741	 197008	      0
    742	 195631	      0
    743	 195969	      0
    744	 194988	      0
    745	 194847	      0
    746	 194093	      0
    747	 192694	      0
    748	 192197	      0
    749	 190198	      0
    750	 189731	      0
    751	 187060	      0
    752	 184244	      0
    753	 182101	      0
    754	 179515	      0
    755	 176191	      0
    756	 173033	      0
    757	 169315	      0
    758	 165697	      0
    759	 162333	      0
    760	 161049	      0
    761	 159261	      0
    762	 160455	      0
    763	 162358	      0
    764	 164913	      0
    765	 168593	      0
    766	 172475	      0
    767	 176728	      0
    768	 179688	      0
    769	 182415	      0
    770	 185617	      0
    771	 186843	      0
    772	 189596	      0
    773	 190481	      0
    774	 191655	      0
    775	 192584	      0
    776	 193789	      0
    777	 194714	      0
    778	 195155	      0
    779	 195116	      0
    780	 195332	      0
    781	 197751	      0
    782	 196887	      0
    783	 197557	      0
    784	 198184	      0
    785	 198423	      0
    786	 197512	      0
    787	 198586	      0
    788	 198103	      0
    789	 198019	      0
    790	 199040	      0
    791	 198287	      0
    792	 198959	      0
    793	 199111	      0
    794	 198866	      0
    795	 199535	      0
    796	 199353	      0
    797	 198389	      0
    798	 198983	      0
    799	 199515	      0
    800	 199212	      0
    801	 199678	      0
    802	 199217	      0
    803	 200422	      0
    804	 199898	      0
    805	 200610	      0
    806	 199970	      0
    807	 200053	      0
    808	 200712	      0
    809	 200399	      0
    810	 200336	      0
    811	 200133	      0
    812	 200207	      0
    813	 200625	      0
    814	 200987	      0
    815	 200070	      0
    816	 199907	      0
    817	 200400	      0
    818	 200161	      0
    819	 200034	      0
    820	 200764	      0
    821	 200849	      0
    822	 200570	      0
    823	 200346	      0
    824	 200468	      0
    825	 200577	      0
    826	 200592	      0
    827	 200405	      0
    828	 201186	      0
    829	 200531	      0
    830	 201290	      0
    831	 200336	      0
    832	 201146	      0
    833	 200027	      0
    834	 200307	      0
    835	 201470	      0
    836	 200025	      0
    837	 199898	      0
    838	 200943	      0
    839	 200852	      0
    840	 200086	      0
    841	 200693	      0
    842	 201181	      0
    843	 200769	      0
    844	 200153	      0
    845	 200986	      0
    846	 199841	      0
    847	 200247	      0
    848	 201348	      0
    849	 201175	      0
    850	 200712	      0
    851	 200426	      0
    852	 200581	      0
    853	 200911	      0
    854	 201254	      0
    855	 201110	      0
    856	 201168	      0
    857	 201113	      0
    858	 200283	      0
