Original file:
C:\Users\Kryolabor\Desktop\Melissa_Marc\Fe2O3
Date / time: 28.11.2022, 14:13:43
Sample: Eisen(III)-Oxid
Comments: 83mV Antriebsspannung, Eisen(III)-Oxid-Pulver, 0.051g
Channel #	Counts	Counts (folded)
    372	 484573	 970582
    373	 484681	 970176
    374	 486347	 973142
    375	 486876	 973982
    376	 487940	 975564
    377	 488659	 975032
    378	 488430	 975493
    379	 489148	 977405
    380	 488171	 976408
    381	 489579	 977062
    382	 488265	 977838
    383	 488188	 976789
    384	 490363	 977831
    385	 488683	 977352
    386	 491037	 979220
    387	 489422	 979254
    388	 489952	 978147
    389	 489726	 979722
    390	 488816	 977634
    391	 488397	 976972
    392	 489165	 979446
    393	 490920	 979521
    394	 489850	 978444
    395	 489968	 979250
    396	 490951	 980753
    397	 490558	 979395
    398	 491435	 980451
    399	 490438	 979403
    400	 489733	 978666
    401	 489729	 978133
    402	 490534	 979846
    403	 490958	 978764
    404	 489633	 979587
    405	 490763	 979641
    406	 490103	 980558
    407	 491328	 981453
    408	 489838	 978895
    409	 490768	 980306
    410	 490744	 981086
    411	 490967	 978959
    412	 491183	 981038
    413	 491133	 980219
    414	 490169	 980471
    415	 491286	 981725
    416	 489025	 979628
    417	 491067	 980970
    418	 491140	 980145
    419	 489109	 978383
    420	 490564	 980977
    421	 490139	 979765
    422	 490416	 979977
    423	 490128	 979708
    424	 489609	 979288
    425	 489879	 979251
    426	 490254	 979294
    427	 490758	 980177
    428	 490950	 981685
    429	 490645	 979486
    430	 490998	 980222
    431	 491072	 980332
    432	 491223	 980177
    433	 490721	 980030
    434	 490499	 979592
    435	 489845	 980176
    436	 490467	 981352
    437	 489206	 979287
    438	 488885	 978490
    439	 491322	 981231
    440	 490180	 978516
    441	 491180	 980676
    442	 490918	 980902
    443	 490822	 981088
    444	 490568	 980225
    445	 491235	 980377
    446	 489728	 978578
    447	 490378	 981019
    448	 490409	 979270
    449	 489661	 979561
    450	 491235	 980124
    451	 490131	 980631
    452	 491590	 981233
    453	 490144	 980757
    454	 491770	 981092
    455	 490600	 980608
    456	 490715	 982270
    457	 489418	 979178
    458	 490050	 979124
    459	 490808	 980813
    460	 490425	 980885
    461	 490295	 980999
    462	 491423	 982174
    463	 490499	 981188
    464	 490828	 979383
    465	 490526	 979732
    466	 489726	 979454
    467	 490086	 979959
    468	 490315	 980702
    469	 489576	 979723
    470	 489642	 979706
    471	 490187	 979994
    472	 492076	 982546
    473	 490702	 981241
    474	 490681	 980427
    475	 489208	 978749
    476	 490488	 979542
    477	 490480	 981296
    478	 491466	 980490
    479	 489661	 979530
    480	 490537	 981070
    481	 489293	 978778
    482	 490397	 979926
    483	 489953	 979847
    484	 489945	 980115
    485	 490776	 982032
    486	 490925	 979749
    487	 490384	 980725
    488	 490627	 980638
    489	 489789	 980248
    490	 490824	 980934
    491	 491562	 979911
    492	 489941	 981864
    493	 490036	 981121
    494	 490034	 978586
    495	 489680	 980470
    496	 490340	 979877
    497	 491467	 981638
    498	 490586	 981030
    499	 490556	 981220
    500	 490262	 980242
    501	 491558	 981176
    502	 490290	 981190
    503	 490600	 980239
    504	 489899	 980464
    505	 490318	 982191
    506	 490439	 980175
    507	 489350	 978598
    508	 490272	 979674
    509	 490507	 980663
    510	 490184	 979669
    511	 490197	 979577
    512	 489380	      0
    513	 489485	      0
    514	 490156	      0
    515	 489402	      0
    516	 489248	      0
    517	 489736	      0
    518	 491873	      0
    519	 490565	      0
    520	 489639	      0
    521	 490900	      0
    522	 489618	      0
    523	 489980	      0
    524	 490664	      0
    525	 490444	      0
    526	 490171	      0
    527	 489537	      0
    528	 490790	      0
    529	 488552	      0
    530	 491085	      0
    531	 491923	      0
    532	 488349	      0
    533	 490110	      0
    534	 490459	      0
    535	 490011	      0
    536	 490341	      0
    537	 488824	      0
    538	 491256	      0
    539	 490170	      0
    540	 489894	      0
    541	 489529	      0
    542	 489485	      0
    543	 490533	      0
    544	 489869	      0
    545	 489024	      0
    546	 490816	      0
    547	 489054	      0
    548	 489541	      0
    549	 489746	      0
    550	 490539	      0
    551	 490470	      0
    552	 489807	      0
    553	 490064	      0
    554	 490147	      0
    555	 490387	      0
    556	 489873	      0
    557	 489728	      0
    558	 489206	      0
    559	 488555	      0
    560	 490689	      0
    561	 490751	      0
    562	 490704	      0
    563	 490460	      0
    564	 490005	      0
    565	 489074	      0
    566	 489760	      0
    567	 491555	      0
    568	 490008	      0
    569	 489322	      0
    570	 490613	      0
    571	 489643	      0
    572	 490500	      0
    573	 488889	      0
    574	 489900	      0
    575	 488861	      0
    576	 490641	      0
    577	 488850	      0
    578	 489142	      0
    579	 489657	      0
    580	 490266	      0
    581	 489984	      0
    582	 489496	      0
    583	 488336	      0
    584	 489909	      0
    585	 489605	      0
    586	 490081	      0
    587	 490885	      0
    588	 490331	      0
    589	 489093	      0
    590	 489309	      0
    591	 488954	      0
    592	 489260	      0
    593	 489224	      0
    594	 488841	      0
    595	 490735	      0
    596	 489419	      0
    597	 489040	      0
    598	 489372	      0
    599	 489679	      0
    600	 489580	      0
    601	 489561	      0
    602	 489626	      0
    603	 490413	      0
    604	 489274	      0
    605	 489005	      0
    606	 489903	      0
    607	 490603	      0
    608	 490439	      0
    609	 490302	      0
    610	 489086	      0
    611	 489855	      0
    612	 487992	      0
    613	 490342	      0
    614	 489538	      0
    615	 489057	      0
    616	 490125	      0
    617	 490455	      0
    618	 488878	      0
    619	 489954	      0
    620	 487806	      0
    621	 489312	      0
    622	 488404	      0
    623	 488933	      0
    624	 488965	      0
    625	 489016	      0
    626	 488837	      0
    627	 489802	      0
    628	 489282	      0
    629	 488594	      0
    630	 488601	      0
    631	 490281	      0
    632	 488575	      0
    633	 488818	      0
    634	 489996	      0
    635	 488195	      0
    636	 489832	      0
    637	 488183	      0
    638	 488669	      0
    639	 487468	      0
    640	 488601	      0
    641	 489573	      0
    642	 487483	      0
    643	 488237	      0
    644	 488257	      0
    645	 487063	      0
    646	 486373	      0
    647	 487624	      0
    648	 487106	      0
    649	 486795	      0
    650	 485495	      0
    651	 486009	      0
    652	 484536	      0
    653	 484371	      0
    654	 482985	      0
    655	 481005	      0
    656	 481234	      0
    657	 477091	      0
    658	 471853	      0
    659	 464396	      0
    660	 452256	      0
    661	 435491	      0
    662	 418806	      0
    663	 406915	      0
    664	 407819	      0
    665	 425460	      0
    666	 444800	      0
    667	 460460	      0
    668	 469451	      0
    669	 475603	      0
    670	 478489	      0
    671	 481880	      0
    672	 482999	      0
    673	 484248	      0
    674	 485574	      0
    675	 486067	      0
    676	 486729	      0
    677	 486471	      0
    678	 487087	      0
    679	 487680	      0
    680	 488014	      0
    681	 488372	      0
    682	 487631	      0
    683	 488493	      0
    684	 487989	      0
    685	 487909	      0
    686	 488042	      0
    687	 489860	      0
    688	 488120	      0
    689	 488007	      0
    690	 488304	      0
    691	 488950	      0
    692	 489729	      0
    693	 487565	      0
    694	 488999	      0
    695	 489186	      0
    696	 486970	      0
    697	 487707	      0
    698	 487479	      0
    699	 488490	      0
    700	 487487	      0
    701	 487784	      0
    702	 487883	      0
    703	 485902	      0
    704	 486915	      0
    705	 486072	      0
    706	 484515	      0
    707	 485736	      0
    708	 482491	      0
    709	 480227	      0
    710	 476180	      0
    711	 469383	      0
    712	 454009	      0
    713	 434281	      0
    714	 416507	      0
    715	 423238	      0
    716	 446121	      0
    717	 463828	      0
    718	 473385	      0
    719	 478919	      0
    720	 480917	      0
    721	 484306	      0
    722	 485472	      0
    723	 485868	      0
    724	 487565	      0
    725	 487844	      0
    726	 487271	      0
    727	 488140	      0
    728	 487863	      0
    729	 487003	      0
    730	 488505	      0
    731	 488062	      0
    732	 489179	      0
    733	 489623	      0
    734	 487269	      0
    735	 489014	      0
    736	 490174	      0
    737	 487715	      0
    738	 489084	      0
    739	 489808	      0
    740	 489017	      0
    741	 487387	      0
    742	 487789	      0
    743	 487838	      0
    744	 487572	      0
    745	 486781	      0
    746	 488455	      0
    747	 487835	      0
    748	 489014	      0
    749	 487685	      0
    750	 487799	      0
    751	 486901	      0
    752	 484920	      0
    753	 483645	      0
    754	 481036	      0
    755	 475657	      0
    756	 466016	      0
    757	 447437	      0
    758	 440981	      0
    759	 456827	      0
    760	 471389	      0
    761	 479072	      0
    762	 483328	      0
    763	 484885	      0
    764	 486838	      0
    765	 486179	      0
    766	 487957	      0
    767	 488195	      0
    768	 486905	      0
    769	 487465	      0
    770	 487791	      0
    771	 487510	      0
    772	 487613	      0
    773	 488446	      0
    774	 488241	      0
    775	 487805	      0
    776	 487779	      0
    777	 489563	      0
    778	 488119	      0
    779	 488742	      0
    780	 486804	      0
    781	 487680	      0
    782	 486085	      0
    783	 486111	      0
    784	 485221	      0
    785	 482387	      0
    786	 481051	      0
    787	 475622	      0
    788	 463471	      0
    789	 446754	      0
    790	 441755	      0
    791	 458053	      0
    792	 471815	      0
    793	 481118	      0
    794	 483243	      0
    795	 485649	      0
    796	 486601	      0
    797	 486033	      0
    798	 487876	      0
    799	 487306	      0
    800	 486984	      0
    801	 489014	      0
    802	 488588	      0
    803	 488285	      0
    804	 488643	      0
    805	 488066	      0
    806	 489267	      0
    807	 488351	      0
    808	 487556	      0
    809	 488828	      0
    810	 488711	      0
    811	 488310	      0
    812	 489854	      0
    813	 488943	      0
    814	 489022	      0
    815	 488275	      0
    816	 488364	      0
    817	 488829	      0
    818	 489045	      0
    819	 487942	      0
    820	 487409	      0
    821	 487908	      0
    822	 487400	      0
    823	 486248	      0
    824	 486051	      0
    825	 485882	      0
    826	 484539	      0
    827	 484410	      0
    828	 480496	      0
    829	 478277	      0
    830	 472677	      0
    831	 460951	      0
    832	 440927	      0
    833	 419804	      0
    834	 420820	      0
    835	 436850	      0
    836	 457535	      0
    837	 469232	      0
    838	 476906	      0
    839	 480144	      0
    840	 482646	      0
    841	 484113	      0
    842	 485827	      0
    843	 486843	      0
    844	 487417	      0
    845	 487839	      0
    846	 488012	      0
    847	 488051	      0
    848	 487083	      0
    849	 488501	      0
    850	 486872	      0
    851	 487993	      0
    852	 488792	      0
    853	 488092	      0
    854	 487880	      0
    855	 488502	      0
    856	 488697	      0
    857	 487746	      0
    858	 489000	      0
    859	 487897	      0
    860	 487941	      0
    861	 488142	      0
    862	 487799	      0
    863	 486189	      0
    864	 487192	      0
    865	 486754	      0
    866	 485542	      0
    867	 486143	      0
    868	 486254	      0
    869	 485400	      0
    870	 484426	      0
    871	 483327	      0
    872	 481792	      0
    873	 479333	      0
    874	 475642	      0
    875	 471527	      0
    876	 462014	      0
    877	 447778	      0
    878	 429170	      0
    879	 412030	      0
    880	 404920	      0
    881	 413484	      0
    882	 428178	      0
    883	 442441	      0
    884	 458054	      0
    885	 467113	      0
    886	 473715	      0
    887	 477807	      0
    888	 479520	      0
    889	 482235	      0
    890	 483877	      0
    891	 483748	      0
    892	 485946	      0
    893	 484966	      0
    894	 485396	      0
    895	 486917	      0
    896	 487361	      0
    897	 486829	      0
    898	 487871	      0
    899	 487766	      0
    900	 487539	      0
    901	 487148	      0
    902	 488113	      0
    903	 489005	      0
    904	 490324	      0
    905	 489431	      0
    906	 489212	      0
    907	 488581	      0
    908	 488236	      0
    909	 488734	      0
    910	 490063	      0
    911	 489621	      0
    912	 489398	      0
    913	 488356	      0
    914	 489111	      0
    915	 489162	      0
    916	 489387	      0
    917	 488273	      0
    918	 489528	      0
    919	 489637	      0
    920	 489177	      0
    921	 488126	      0
    922	 488675	      0
    923	 488569	      0
    924	 488192	      0
    925	 490587	      0
    926	 489343	      0
    927	 489021	      0
    928	 490699	      0
    929	 488398	      0
    930	 489976	      0
    931	 488482	      0
    932	 489387	      0
    933	 490087	      0
    934	 489261	      0
    935	 489509	      0
    936	 489670	      0
    937	 488100	      0
    938	 488963	      0
    939	 488484	      0
    940	 488077	      0
    941	 488963	      0
    942	 489488	      0
    943	 487622	      0
    944	 489773	      0
    945	 489471	      0
    946	 489491	      0
    947	 488947	      0
    948	 489961	      0
    949	 489330	      0
    950	 490105	      0
    951	 489663	      0
    952	 489133	      0
    953	 489512	      0
    954	 490051	      0
    955	 488801	      0
    956	 488913	      0
    957	 490043	      0
    958	 489807	      0
    959	 489753	      0
    960	 490840	      0
    961	 489741	      0
    962	 490509	      0
    963	 490161	      0
    964	 489913	      0
    965	 489831	      0
    966	 491108	      0
    967	 490144	      0
    968	 490200	      0
    969	 490346	      0
    970	 489414	      0
    971	 490836	      0
    972	 489104	      0
    973	 489159	      0
    974	 490814	      0
    975	 489710	      0
    976	 489291	      0
    977	 489463	      0
    978	 489707	      0
    979	 489043	      0
    980	 489526	      0
    981	 490339	      0
    982	 489710	      0
    983	 489015	      0
    984	 489740	      0
    985	 488378	      0
    986	 488597	      0
    987	 489227	      0
    988	 490313	      0
    989	 490249	      0
    990	 491308	      0
    991	 490135	      0
    992	 490456	      0
    993	 489485	      0
    994	 489370	      0
    995	 489670	      0
    996	 489239	      0
    997	 488916	      0
    998	 490358	      0
    999	 490352	      0
   1000	 489784	      0
   1001	 489414	      0
   1002	 489932	      0
   1003	 490206	      0
   1004	 490503	      0
   1005	 490075	      0
   1006	 489107	      0
   1007	 490739	      0
   1008	 490907	      0
   1009	 489650	      0
   1010	 490828	      0
   1011	 490938	      0
   1012	 490675	      0
   1013	 490379	      0
   1014	 490748	      0
   1015	 490768	      0
   1016	 490581	      0
   1017	 489477	      0
   1018	 488436	      0
   1019	 489304	      0
   1020	 491317	      0
   1021	 491261	      0
   1022	 490124	      0
   1023	 489764	      0
