Original file:
C:\Users\Kryolabor\Desktop\Melissa_Marc\Stahl_folie.txt
Date / time: 23.11.2022, 15:36:22
Sample: Edelstahlfolie
Comments: 22mV Antriebsspannung, 25µm Edelstahlfolie
Channel #	Counts	Counts (folded)
    407	  20593	  40986
    408	  20669	  41389
    409	  20548	  40957
    410	  20374	  40884
    411	  20349	  40764
    412	  20520	  40916
    413	  20610	  40939
    414	  20252	  40851
    415	  20472	  41107
    416	  20449	  40941
    417	  20283	  40797
    418	  20484	  41010
    419	  20499	  41087
    420	  20547	  40841
    421	  20457	  40867
    422	  20833	  41156
    423	  20415	  40805
    424	  20289	  40645
    425	  20649	  41104
    426	  20436	  40797
    427	  20536	  41040
    428	  20332	  40624
    429	  20405	  40847
    430	  20245	  40939
    431	  20559	  41013
    432	  20308	  40915
    433	  20441	  40940
    434	  20463	  40933
    435	  20245	  40757
    436	  20641	  41218
    437	  20768	  41361
    438	  20521	  40916
    439	  20500	  40899
    440	  20533	  40871
    441	  20544	  41268
    442	  20274	  40903
    443	  20297	  40637
    444	  20350	  41039
    445	  20562	  40870
    446	  20272	  40713
    447	  20561	  41061
    448	  20571	  40917
    449	  20575	  41098
    450	  20650	  41012
    451	  20492	  41350
    452	  20408	  40975
    453	  20354	  40904
    454	  20489	  41000
    455	  20391	  40908
    456	  20423	  40963
    457	  20444	  40730
    458	  20445	  40958
    459	  20372	  40632
    460	  20517	  40766
    461	  20379	  40743
    462	  20462	  40920
    463	  20482	  40795
    464	  20328	  40783
    465	  20564	  40940
    466	  20742	  41453
    467	  20617	  41208
    468	  20284	  40888
    469	  20400	  41237
    470	  20336	  41018
    471	  20176	  40552
    472	  20513	  40833
    473	  20734	  41298
    474	  20469	  41181
    475	  20486	  40937
    476	  20406	  40932
    477	  20484	  40767
    478	  20615	  41244
    479	  20672	  41159
    480	  20522	  41193
    481	  20314	  40757
    482	  20465	  40878
    483	  20629	  40985
    484	  20345	  40935
    485	  20360	  40713
    486	  20674	  41220
    487	  20705	  41326
    488	  20287	  40769
    489	  20387	  40721
    490	  20459	  41007
    491	  20599	  41158
    492	  20466	  41107
    493	  20284	  40958
    494	  20487	  41030
    495	  20504	  40949
    496	  20423	  41076
    497	  20400	  40847
    498	  20305	  40671
    499	  20431	  41230
    500	  20511	  41009
    501	  20485	  41048
    502	  20266	  40720
    503	  20454	  40927
    504	  20414	  40874
    505	  20461	  41243
    506	  20296	  40795
    507	  20590	  41139
    508	  20296	  40507
    509	  20389	  40701
    510	  20289	  40678
    511	  20407	  40824
    512	  20417	      0
    513	  20389	      0
    514	  20312	      0
    515	  20211	      0
    516	  20549	      0
    517	  20499	      0
    518	  20782	      0
    519	  20460	      0
    520	  20473	      0
    521	  20454	      0
    522	  20563	      0
    523	  20498	      0
    524	  20799	      0
    525	  20366	      0
    526	  20447	      0
    527	  20653	      0
    528	  20445	      0
    529	  20543	      0
    530	  20674	      0
    531	  20641	      0
    532	  20559	      0
    533	  20548	      0
    534	  20334	      0
    535	  20482	      0
    536	  20621	      0
    537	  20546	      0
    538	  20353	      0
    539	  20590	      0
    540	  20356	      0
    541	  20413	      0
    542	  20443	      0
    543	  20671	      0
    544	  20487	      0
    545	  20629	      0
    546	  20283	      0
    547	  20526	      0
    548	  20451	      0
    549	  20712	      0
    550	  20564	      0
    551	  20320	      0
    552	  20376	      0
    553	  20682	      0
    554	  20837	      0
