Original file:
C:\Users\Kryolabor\Desktop\Melissa_Marc\rotes_salz.txt
Date / time: 30.11.2022, 13:46:27
Sample: rotes Blutlaugensalz
Comments: 10mV Antriebsspannung, rotes Blutlaugensalz
Channel #	Counts	Counts (folded)
    558	  18963	      0
    559	  18715	      0
    560	  18563	      0
    561	  18753	      0
    562	  19027	      0
    563	  18814	      0
    564	  18530	      0
    565	  18737	      0
    566	  18807	      0
    567	  18721	      0
    568	  18763	      0
    569	  18578	      0
    570	  18829	      0
    571	  18480	      0
    572	  18849	      0
    573	  18509	      0
    574	  18777	      0
    575	  18645	      0
    576	  18601	      0
    577	  18623	      0
    578	  18590	      0
    579	  18663	      0
    580	  18523	      0
    581	  18653	      0
    582	  18606	      0
    583	  18704	      0
    584	  18456	      0
    585	  18411	      0
    586	  18595	      0
    587	  18486	      0
    588	  18633	      0
    589	  18755	      0
    590	  18508	      0
    591	  18512	      0
    592	  18701	      0
    593	  18703	      0
    594	  18508	      0
    595	  18564	      0
    596	  18439	      0
    597	  18596	      0
    598	  18730	      0
    599	  18773	      0
    600	  18528	      0
    601	  18675	      0
    602	  18660	      0
    603	  18888	      0
    604	  18854	      0
    605	  18374	      0
    606	  18405	      0
    607	  18546	      0
    608	  18361	      0
    609	  18526	      0
    610	  18580	      0
    611	  18607	      0
    612	  18588	      0
    613	  18782	      0
    614	  18458	      0
    615	  18527	      0
    616	  18591	      0
    617	  18620	      0
    618	  18713	      0
    619	  18667	      0
    620	  18483	      0
    621	  18800	      0
    622	  18637	      0
    623	  18526	      0
    624	  18725	      0
    625	  18695	      0
    626	  18787	      0
    627	  18590	      0
    628	  18454	      0
    629	  18646	      0
    630	  18739	      0
    631	  18562	      0
    632	  18530	      0
    633	  18625	      0
    634	  18672	      0
    635	  18844	      0
    636	  18778	      0
    637	  18537	      0
    638	  18681	      0
    639	  18563	      0
    640	  18729	      0
    641	  18651	      0
    642	  18602	      0
    643	  18554	      0
    644	  18701	      0
    645	  18695	      0
    646	  18958	      0
    647	  18514	      0
    648	  18619	      0
    649	  18688	      0
    650	  18404	      0
    651	  18754	      0
    652	  18530	      0
    653	  18674	      0
    654	  18528	      0
    655	  18609	      0
    656	  18522	      0
    657	  18515	      0
    658	  18432	      0
    659	  18612	      0
    660	  18650	      0
    661	  18332	      0
    662	  18481	      0
    663	  18385	      0
    664	  18371	      0
    665	  18619	      0
    666	  18591	      0
    667	  18590	      0
    668	  18586	      0
    669	  18790	      0
    670	  18673	      0
    671	  18604	      0
    672	  18448	      0
    673	  18413	      0
    674	  18599	      0
    675	  18561	      0
    676	  18465	      0
    677	  18344	      0
    678	  18554	      0
    679	  18515	      0
    680	  18604	      0
