Original file:
C:\Users\Kryolabor\Desktop\Melissa_Marc\Eisen_folie.txt
Date / time: 23.11.2022, 12:46:26
Sample: Eisenfolie
Comments: 63mV Antriebsspannung, 25µm Eisenfolie
Channel #	Counts	Counts (folded)
    363	  15588	  30907
    364	  15199	  30576
    365	  15404	  30784
    366	  15433	  30938
    367	  15620	  31266
    368	  15541	  31001
    369	  15694	  31395
    370	  15615	  31023
    371	  15501	  31004
    372	  15570	  31196
    373	  15440	  30961
    374	  15389	  30885
    375	  15391	  30841
    376	  15369	  30907
    377	  15528	  31200
    378	  15499	  31078
    379	  15515	  31231
    380	  15515	  31171
    381	  15609	  30941
    382	  15656	  31078
    383	  15431	  31003
    384	  15542	  30992
    385	  15601	  31152
    386	  15511	  30994
    387	  15470	  31052
    388	  15644	  30964
    389	  15581	  31029
    390	  15485	  31110
    391	  15453	  30940
    392	  15425	  31048
    393	  15606	  31033
    394	  15560	  31203
    395	  15443	  30861
    396	  15377	  30983
    397	  15539	  30934
    398	  15446	  31065
    399	  15432	  31173
    400	  15391	  30951
    401	  15655	  31259
    402	  15370	  30675
    403	  15796	  31307
    404	  15596	  31005
    405	  15545	  31086
    406	  15386	  30807
    407	  15564	  30983
    408	  15551	  31086
    409	  15476	  30730
    410	  15640	  31200
    411	  15472	  30978
    412	  15453	  30911
    413	  15691	  31222
    414	  15454	  31027
    415	  15427	  30986
    416	  15471	  31143
    417	  15586	  31117
    418	  15701	  31126
    419	  15528	  30819
    420	  15515	  30847
    421	  15446	  30887
    422	  15462	  30858
    423	  15609	  31140
    424	  15487	  31183
    425	  15340	  30714
    426	  15585	  31255
    427	  15506	  30905
    428	  15508	  30934
    429	  15498	  30846
    430	  15589	  31265
    431	  15592	  31051
    432	  15542	  31208
    433	  15710	  31158
    434	  15413	  30907
    435	  15546	  31066
    436	  15470	  30992
    437	  15483	  31128
    438	  15438	  30988
    439	  15193	  30806
    440	  15623	  31044
    441	  15749	  31296
    442	  15378	  31086
    443	  15652	  31471
    444	  15724	  31233
    445	  15406	  30883
    446	  15477	  30927
    447	  15660	  31113
    448	  15565	  31108
    449	  15383	  31007
    450	  15760	  31110
    451	  15644	  31242
    452	  15452	  31108
    453	  15578	  30966
    454	  15720	  31057
    455	  15661	  31089
    456	  15651	  31100
    457	  15546	  30819
    458	  15402	  30947
    459	  15451	  31076
    460	  15488	  31030
    461	  15588	  31329
    462	  15524	  30935
    463	  15692	  31287
    464	  15864	  31635
    465	  15529	  31156
    466	  15662	  31116
    467	  15492	  30818
    468	  15515	  31012
    469	  15351	  30987
    470	  15657	  31024
    471	  15500	  31141
    472	  15433	  30988
    473	  15748	  31482
    474	  15439	  30917
    475	  15453	  30897
    476	  15655	  31146
    477	  15660	  31279
    478	  15684	  31125
    479	  15524	  31049
    480	  15739	  31369
    481	  15452	  30944
    482	  15524	  30804
    483	  15752	  31222
    484	  15622	  31085
    485	  15474	  31019
    486	  15427	  31086
    487	  15727	  31044
    488	  15552	  31166
    489	  15587	  30971
    490	  15523	  31098
    491	  15339	  30765
    492	  15515	  31034
    493	  15479	  30966
    494	  15562	  31195
    495	  15585	  31191
    496	  15651	  31395
    497	  15611	  31388
    498	  15301	  30797
    499	  15509	  31064
    500	  15590	  30974
    501	  15565	  31359
    502	  15547	  31075
    503	  15418	  30928
    504	  15614	  31323
    505	  15584	  31039
    506	  15417	  30946
    507	  15722	  31402
    508	  15631	  31195
    509	  15887	  31510
    510	  15538	  30977
    511	  15478	  30999
    512	  15521	      0
    513	  15439	      0
    514	  15623	      0
    515	  15564	      0
    516	  15680	      0
    517	  15529	      0
    518	  15455	      0
    519	  15709	      0
